price,title,location,links,description
$3800,2002 Mazda 626 ES Cold AC Clean title Excellent Condition for SALE, (22nd Ave and Dunlap Ave),/nph/cto/4704546410.html,"
        2002 Mazda 626 ES Sedan 4D in Excellent Condition for SALE , **Reduced price .. it has to go this week.** LAST Chance .. very good car in price..,
· Color - White.,
· Mileage 132 K,
· V6 Engine.,
· New Tires /under warranty, Alignment checked with 6 months warranty.,
· Recent maintenance done , have receipts.,
· Leather Interior, Power Window , Power Seat.,
· Chilling AC -- with Split air blow FAN , Heater works great.,
· Good Audio System,
· Clean Title.,
· Used in pet Free and smoke free environment.,
ASKING For $3800 ( OBO ) , need to sell it as I am moving out of states.,
Pictures - check above.,
For more technical details please check KBB link- ,
http://www.kbb.com/mazda/626/2002-mazda-626/es-sedan-4d-specifications/?spec_group=high&category=sedan&intent=buy-used&pricetype=private-party&condition=good&persistedcondition=good&vehicleid=4350&mileage=132000,
NOTE - Need Cash only , STRICTLY NO PAYPAL or any ONLINE/CHECK through POST dealings .
    "
$3950,1961 VW Baja, (Parker),/nph/cto/4693617484.html,"
        Up for sale is my 1962 VW Baja, it has a1600 motor. It was just painted and the interior was completely redone. New tires and new window/door door seals. One piece door and tinted all around. No rust. Asking $3950 Vehicle is located in Parker, AZ. Call or text cell phone 928 nine 1 six 3604 house 928 667 three 717
    "
$1,1966 chevy impala parting out, (2720 w broadway),/cph/cto/4588364939.html,"
        parting out You pick and pull the parts you need at a huge discount, or we can pull parts for you. ,
 Call us Today and save hundreds on your auto parts 
 ,
,
 NO E-MAILS 
    "
$2147483647,2012 Jeep Wrangler Unlimited 4X4 LOW MILES, (old town),/evl/cto/4676306712.html,"
        2012 Jeep Unlimited 4X4 super nice, Please call Matthew At ,
Trade OK even have original books and all keys, Lots of extras Call anytime.
    "
$1,85 gmc jimmy, (Phx),/nph/cto/4602438260.html,"
        Selling great gmc jimmy. 350 motor runs great just rebuilt not long ago. Call text with any questions "
$1,1996 HONDA PASSPORT, (7th Ave & Campbell Ave),/cph/cto/4602170551.html,"
        1996 HONDA PASSPORT ,
4-Wheel Drive - Runs good -- COLD A/C,
Has 236k but still runs GREAT!,
Automatic - Good dependable vehicle.,
Asking only $1,800 OBO.,
If interested call (no text) Ken at
 ,
or
 ,
,
Thank you"
$1,1965 Dodge Step side  rare, (Buckeye),/wvl/cto/4598864373.html,"
        This is a  Rare 1965 D100 Stepside pickup. I replaced the six cylinder 3 speed with a 1977 440 cu inch V8 4 bbl,a 727 automatic transmission from motor home with 67xxx miles on it and a one ton rear end. It has 3/4 ton suspension and new brakes,new tires,lots,of torque and very fast! It needs a little body work and paint. It has bucket seats.from a Dodge Ram Asking price $10,000.00  Call John ,
 If the add is up I still have the truck. Reason for selling ,presently recovering from a hernia operation,along with other medical issues. I'm not desperate to sell. Tags good for 5 years. No low ballers or PayPal. Buyer will see and drive it before it's sold:-) :-) :-) :-) :-) :-) 
    "
$1,2000 gmc sierra 1500 parts, (east mesa),/evl/cto/4594685023.html,"
        I have misc. Parts for 99 gmc 1500 with the 4.3 vortec motor ,
Bed 400,
Tailgate 200,
Tail lights 100,
Transmission 60le 500,
Hood 150,
Call or email 
 ,

    "
$1,2000 Volkswagon Beetle, (phoenix),/wvl/cto/4592685723.html,"
        Selling a 2000 Volkswagon beetle,
It has 120k miles on it.,
The title is a clean title.,
Runs great but does over heat sometimes.,
The car is in pretty good shape but is missing the passenger side door panel.,
The A/C does turn on and blow air but it blows hot air,
The issues are minor fixes and can definitely be fixed for a low amount.,
Asking $2500 OBO,
If you are interested or have any questions call or text me at 
 ,
,
Keywords: vw, car, cheap, dodge, honda, ford, Chevy, bug, bettle, beetle, Volkswagon, sale, low, Phoenix,Tempe, Mesa,
    "
$1,MGB 1974 Classic Fixer,,/cph/cto/4592147111.html,"
        Best offer Takes home this classic MGB 1974 Mechanics dream,
Please email me any questions,
Located in Tucson, AZ
    "
